smiles NumRings NumAromaticCarbocycles NumAromaticRings NumAliphaticRings NumAromaticHeterocycles NumHeteroatoms NumSaturatedHeterocycles NumSaturatedCarbocycles NumSaturatedRings NOCount
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc1cccnc1 2 0 1 1 1 6 1 0 1 6
COc1ncc(-c2c(C(=O)O)c3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1 5 1 4 1 3 13 0 0 0 11
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccc(F)cc3C)C(=O)O)cc2)n1 3 2 3 0 1 8 0 0 0 7
Cc1cc(=O)n2nc(C(C)(C)C)cc2[nH]1 2 0 2 0 2 4 0 0 0 4
CC(C)NC(=O)c1cccc(NC(=O)/C=C/Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)c1 6 2 2 4 0 5 0 4 4 5
CC[C@@H](CN(CC(F)(F)F)S(C)(=O)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)C1c1ccc(Cl)cc1 3 2 2 1 0 13 1 0 1 7
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)cc1 3 2 3 0 1 12 0 0 0 10
COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(S(=O)(=O)c3ccccc3C)CCCCC2)C(=O)O)cc1 4 3 3 1 0 8 0 1 1 7
Brc1ccc(C2Oc3ccccc3C3=C2C(c2ccc(Br)cc2)n2ncnc2N3)cc1 6 3 4 2 1 7 0 0 0 5
COc1cc(/C=N/NC(=O)c2cc3c(ccc4ccccc43)o2)cc(OC)c1O 4 3 4 0 1 7 0 0 0 7
O=C(O)CC(c1cccnc1)n1ccc2c(CCc3ccc4c(n3)NCCC4)cccc21 5 1 4 1 3 6 0 0 0 6
Cc1cc(=O)n2nc(SCC(=O)c3ccccc3)nc2[nH]1 3 1 3 0 2 7 0 0 0 6
Cc1noc(C)c1-c1ccc2c(c1)[C@](O)(c1ccccc1)CC2 4 2 3 1 1 3 0 0 0 3
CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccccc3N)c([N+](=O)[O-])c2)CC1 3 2 2 1 0 9 1 0 1 8
Cc1ccccc1-c1cnc(N(C)C2CCN(C)CC2)nc1N[C@@H](Cc1ccc(OC(=O)N(C)C)cc1)C(=O)O 4 2 3 1 1 10 1 0 1 10
CCC(=O)N1CC(N2CCN(C(=O)CNc3cc(Cl)c(Cl)cc3O)CC2)C1 3 1 1 2 0 9 2 0 2 7
CNC(=O)Cc1ccc(Cl)cc1-n1c(C2CCCCC2)nc(-c2nnc(N)o2)c1-c1ccc(F)c(Cl)c1 5 2 4 1 2 11 0 1 1 8
O=C(Nc1cc(Br)c(O)c(Br)c1)c1cc(Cl)c(O)c(Cl)c1 2 2 2 0 0 8 0 0 0 4
O=C(O)CC(CC1CCN(C(=O)CCc2ccc3c(n2)NCCC3)CC1)c1cccnc1 4 0 2 2 2 7 1 0 1 7
Cc1cccc(C(=O)N[C@@H]2C(=O)Nc3c(c(C)nn3-c3ccccc3)[C@H]2c2ccc(F)cc2)c1 5 3 4 1 1 7 0 0 0 6
COc1ccc(C(CC(=O)O)Cc2csc(CCCCNc3cc(N4CCOCC4)ccn3)n2)cn1 4 0 3 1 3 10 1 0 1 9
CC(C)(C(=O)N1CCC(CC(=O)O)CC1)C(NC(=O)c1ccc(C(=N)N)cc1)c1cccc(O)c1 3 2 2 1 0 9 1 0 1 9
CCCCOC(=O)NC(=N)c1ccc(C(=O)N[C@@H](C)C(=O)N2CCC(OCC(=O)OCC)CC2)cc1 2 1 1 1 0 11 1 0 1 11
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1 1 1 1 0 0 8 0 0 0 5
COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)sc32)[C@H]1c1cccc(Cl)c1F 5 2 3 2 1 12 1 0 1 8
CCN(C)c1cc(-c2ccc(Sc3ccccc3C(C)C)c(C(F)(F)F)c2)ncn1 3 2 3 0 1 7 0 0 0 3
COC(=O)c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)Cc2cc(C)no2)cc1 3 1 2 1 1 9 1 0 1 9
O=C(Cn1c(=O)n(Cc2ccc3c(c2)OCO3)c(=O)c2ccccc21)NCCc1ccccc1 5 3 4 1 1 8 0 0 0 8
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-] 4 3 3 1 0 12 1 0 1 10
Cn1ncc2c3[nH]n(-c4ccc(C(=O)O)c(Cl)c4)c(=O)c3c(-c3cccc(C(F)(F)F)c3)nc21 5 2 5 0 3 12 0 0 0 8
C=CCOc1nc(-c2ccc(N)cn2)nc(C)c1Cl 2 0 2 0 2 6 0 0 0 5
CC(C)(C)C[C@H]1C=C(C(=O)NCCN2CCOCC2)[C@@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12 5 2 2 3 0 9 1 0 1 6
CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1 5 3 3 2 0 11 1 0 1 8
CCCOc1ccc(C(=O)O)cc1-c1cc(-c2cccc(OC)c2OC)n(CCc2ccccc2)n1 4 3 4 0 1 7 0 0 0 7
COc1ccc(-c2csc(N)n2)cc1 2 1 2 0 1 4 0 0 0 3
O=C(NCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc(OCCNC2=NCCCN2)cc1)C(=O)O)OCCOCCOCCOC(=O)NCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc(OCCNC2=NCCCN2)cc1)C(=O)O 4 2 2 2 0 32 0 0 0 30
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1 2 2 2 0 0 6 0 0 0 3
NS(=O)(=O)c1cccc(NC(=O)Nc2ccccc2)c1 2 2 2 0 0 7 0 0 0 6
